TUITIONFEE_IN,TUITIONFEE_OUT,GRAD_DEBT_MDN,RET_FT4,C100_4,PCTPELL,UGDS,MD_EARN_WNE_P10,REGION_Mid East,REGION_Great Lakes,REGION_Plains,REGION_Southeast,REGION_Southwest,REGION_Rocky Mountains,REGION_Far West,REGION_Outlying Areas,LOCALE_City: Midsize,LOCALE_City: Small,LOCALE_Suburb: Large,LOCALE_Suburb: Midsize,LOCALE_Suburb: Small,LOCALE_Town: Fringe,LOCALE_Town: Distant,LOCALE_Town: Remote,LOCALE_Rural: Fringe,LOCALE_Rural: Distant,LOCALE_Rural: Remote,CONTROL_Private Non-Profit,CONTROL_Private For-Profit
-1.5983847418771515,-0.8434537600208155,-2.335240969923596,-0.09739167306843073,-1.1176941642789102,0.6605,1.7653578221957549,59211.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.5424497850449412,-0.8141164899956778,-2.1317282400059243,0.015824265836643613,-0.9223457719275304,0.5599,2.104944906650472,59115.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.447259132093958,-0.7615122807832384,-1.8684686535986612,0.49805452206749945,-0.8780399509818566,0.4863,1.98115267945616,64876.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.5237564394339072,0.9362401103075986,-2.335240969923596,1.5651204082204175,1.8875495314566206,0.2733,2.1230818734932857,92446.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.4873678311200345,0.953523618600051,-2.335240969923596,1.3424769441155076,1.2728062658353971,0.3078,2.089956258703452,80838.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.5818994884524367,0.9092553733500889,-1.8684686535986612,1.3703535296624465,1.5089361524663178,0.3729,2.028174202648327,80735.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6302055304285649,0.8874195943727793,-2.1018548117611284,1.5657734257288318,2.1357628237999977,0.271,2.122254620265646,82511.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.5884055996374591,0.9062837325130213,-1.2850032581924926,0.9935984483506893,1.1051490115750635,0.4669,1.809165405173438,67699.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.48574050260952084,0.9543037166027092,-1.7517755745174275,1.3789697533374632,1.592513041977475,0.3289,2.14078132688022,84943.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.5131165315466297,0.9412620912002374,-2.103488514868266,1.2450993437785283,1.5099431029423558,0.2799,1.829445044131945,74915.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
