TUITIONFEE_IN,TUITIONFEE_OUT,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,ST_FIPS,REGION,LOCALE,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,OTHEREXPENSE_FAM,CONTROL,PREDDEG,ADM_RATE,UGDS,LOCALE2,PCTPELL,PCTFLOAN,ENDOWBEGIN,ENDOWEND,STUFACR,SAT_AVG,C150_4,COMP_ORIG_YR4_RT,COMP_ORIG_YR6_RT,RPY_1YR_RT,COMPL_RPY_1YR_RT,GRAD_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,MD_EARN_WNE_P10,PCT10_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,PCT90_EARN_WNE_P10,MD_EARN_WNE_P6,PCT10_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,PCT90_EARN_WNE_P6,C100_4,INSTNM,CITY,RET_FT4,C200_4
9676.0,18652.0,15142.0,,10148.0,11633.0,15456.0,21143.0,21878.0,,,,,,1.0,5.0,12.0,2020.0,8830.0,5283.0,11062.0,5283.0,5283.0,1.0,3.0,0.6549,8540.0,,0.3713,0.4872,466054000.0,522356776.0,18.0,1119.0,0.5257,0.422551253,0.456873823,0.423534235,0.581116328,24929.0,18750.0,17508.0,16500.0,49379.0,10500.0,30000.0,73471.0,78800.0,41307.0,6800.0,26452.0,60705.0,64100.0,0.3324,University of South Alabama,Mobile,0.7625,0.4957
23270.0,23270.0,,19514.0,,,,,,11239.0,13282.0,16103.0,9655.0,20316.0,1.0,5.0,12.0,1300.0,12212.0,4574.0,17118.0,4936.0,4936.0,2.0,3.0,0.591,850.0,,0.3301,0.5123,16618358.0,10946191.0,10.0,1090.0,0.5612,,,0.53427065,0.739130435,27000.0,19500.0,20000.0,23125.0,51500.0,15500.0,32496.0,72223.0,84300.0,41358.0,7700.0,25997.0,57932.0,62100.0,0.4745,Spring Hill College,Mobile,0.6578,0.5687
11392.0,11392.0,,12272.0,,,,,,11789.0,12252.0,11214.0,13001.0,17500.0,1.0,5.0,12.0,1000.0,9582.0,4704.0,10812.0,4888.0,4888.0,2.0,3.0,0.7422,761.0,,0.682,0.6912,19839522.0,20713966.0,12.0,,0.4103,0.146496815,0.236666667,0.159830269,0.229357798,29067.0,16375.0,14250.0,20344.0,35421.0,5100.0,18957.0,53304.0,51500.0,29790.0,5000.0,16023.0,42693.0,43400.0,0.3162,Stillman College,Tuscaloosa,0.7886,0.1623
15650.0,15650.0,,13461.0,,,,,,13423.0,11620.0,13910.0,20485.0,19595.0,1.0,5.0,32.0,1200.0,6704.0,2100.0,3200.0,2100.0,2100.0,2.0,3.0,0.9925,782.0,,0.7551,0.7778,2986503.0,76169770.0,19.0,,0.6497,0.163398693,0.301694915,0.129129129,PS,28500.0,14750.0,16750.0,12500.0,32229.0,4300.0,17337.0,48588.0,53300.0,22613.0,1300.0,11007.0,36735.0,35600.0,0.586,Talladega College,Talladega,0.8142,0.2627
9792.0,19584.0,13869.0,,12718.0,12632.0,15109.0,15553.0,14278.0,,,,,,1.0,5.0,33.0,1366.0,7996.0,5004.0,10860.0,5004.0,5004.0,1.0,3.0,0.9261,10089.0,,0.423,0.6617,163701443.0,181074239.0,15.0,1086.0,0.4684,0.28379224,0.269603768,0.273071244,0.484821024,25000.0,17000.0,15000.0,15000.0,42062.0,9700.0,24464.0,61119.0,70800.0,39392.0,8300.0,23920.0,56609.0,60300.0,0.2816,Troy University,Troy,0.7299,0.5248
23440.0,23440.0,,32977.0,,,,,,31858.0,33168.0,34010.0,34215.0,,1.0,5.0,32.0,1812.0,9844.0,8358.0,10055.0,8292.0,5493.0,2.0,3.0,0.3143,2367.0,,0.4767,0.6167,142900904.0,150040938.0,12.0,1121.0,0.5709,0.454833597,0.487218045,0.379228954,0.539906103,27000.0,22937.0,21500.0,19500.0,49641.0,9200.0,26919.0,78316.0,81200.0,38332.0,6000.0,20813.0,63359.0,65900.0,0.3115,Tuskegee University,Tuskegee,0.7298,0.5754
18900.0,18900.0,,,,,,,,,,,,,1.0,5.0,13.0,990.0,,,17160.0,2910.0,2910.0,2.0,3.0,0.3529,136.0,,0.3478,0.513,1000000.0,1000000.0,14.0,,,,,0.349593496,0.380952381,,10819.0,,,55257.0,,37678.0,77067.0,,45521.0,,,60286.0,,,United States Sports Academy,Daphne,0.0,
7566.0,21693.0,13780.0,,11436.0,11993.0,13543.0,18947.0,19563.0,,,,,,2.0,8.0,11.0,720.0,12412.0,8882.0,15648.0,10954.0,10954.0,1.0,3.0,0.6652,6916.0,,0.191,0.1488,88768224.0,93785048.0,12.0,,0.2894,0.174219094,0.230218538,0.499179319,0.746279762,20210.0,12500.0,11222.0,10250.0,51871.0,7600.0,28505.0,80117.0,84200.0,42313.0,6600.0,23854.0,62335.0,77600.0,0.1522,University of Alaska Anchorage,Anchorage,0.7166,0.3579
10930.0,10930.0,,14093.0,,,,,,,,8175.0,20012.0,,2.0,8.0,23.0,400.0,7000.0,3801.0,12320.0,5253.0,5253.0,2.0,3.0,,34.0,,0.4872,0.1282,1777619.0,1748628.0,5.0,,1.0,,,PS,PS,,,,,,,,,,,,,,,1.0,Alaska Bible College,Palmer,0.3333,0.3333
8640.0,22752.0,9634.0,,7494.0,8206.0,9719.0,13515.0,16203.0,,,,,,2.0,8.0,13.0,2000.0,10450.0,4250.0,12750.0,4250.0,4250.0,1.0,3.0,,4027.0,,0.2237,0.1765,142226396.0,148864420.0,12.0,,0.3197,0.232333011,0.267857143,0.50815739,0.679417122,20291.0,12136.0,11191.0,11000.0,48866.0,6600.0,25153.0,74202.0,81500.0,40746.0,5300.0,22551.0,63454.0,67300.0,0.2067,University of Alaska Fairbanks,Fairbanks,0.721,0.4643
20760.0,20760.0,,18976.0,,,,,,18371.0,15564.0,18313.0,23460.0,,2.0,8.0,11.0,1200.0,8932.0,5000.0,18200.0,5000.0,5000.0,2.0,3.0,0.8621,400.0,,0.3442,0.4186,89661298.0,96508897.0,8.0,,0.4688,0.43373494,0.53030303,0.531100479,0.632653061,23500.0,11250.0,11000.0,16000.0,54271.0,10800.0,29511.0,79869.0,85000.0,47803.0,8200.0,26774.0,63277.0,68900.0,0.1875,Alaska Pacific University,Anchorage,0.6818,0.25
,,,,,,,,,,,,,,4.0,6.0,11.0,,,,,,,3.0,3.0,,714.0,,0.5823,0.6673,,,28.0,,0.5023,0.603946441,0.534433694,0.163502911,0.20387931,9500.0,9491.0,9500.0,11758.0,29576.0,3300.0,13467.0,43497.0,44000.0,32705.0,2400.0,16356.0,48197.0,38200.0,0.3333,Brookline College-Phoenix,Phoenix,0.0,0.2857
12051.0,32193.0,13670.0,,8909.0,10562.0,15764.0,19651.0,21772.0,,,,,,4.0,6.0,12.0,1320.0,16091.0,3808.0,13932.0,5054.0,5054.0,1.0,3.0,0.9019,64398.0,,0.2966,0.284,1151139450.0,1217984330.0,18.0,,0.6785,0.492382069,0.593368454,0.535660661,0.659742065,19500.0,13750.0,13750.0,13245.0,62668.0,12900.0,40826.0,92934.0,93300.0,52843.0,10400.0,34185.0,76723.0,70000.0,0.5479,Arizona State University Campus Immersion,Tempe,0.8532,0.6755
13626.0,41095.0,15960.0,,12043.0,13789.0,15497.0,20124.0,20936.0,,,,,,4.0,6.0,11.0,800.0,14400.0,4300.0,12000.0,4300.0,4300.0,1.0,3.0,0.8566,40769.0,,0.2624,0.2695,1203998436.0,1287688652.0,19.0,1261.0,0.6589,0.49911675,0.576708279,0.610459662,0.741269493,19620.0,13000.0,13770.0,14000.0,59979.0,12100.0,38990.0,92199.0,99400.0,47665.0,9200.0,30542.0,71211.0,69600.0,0.5091,University of Arizona,Tucson,0.8767,0.6601
42204.0,42204.0,,39983.0,,,,,,37016.0,34781.0,37944.0,40511.0,42052.0,4.0,6.0,13.0,1400.0,14102.0,5562.0,14102.0,5562.0,5562.0,2.0,3.0,0.7519,3245.0,,0.174,0.3439,69342000.0,79952000.0,17.0,1256.0,0.6976,0.372737887,0.46662367,0.590673575,0.70969697,23666.0,15000.0,13000.0,14750.0,84131.0,22400.0,55392.0,112155.0,115500.0,65391.0,13300.0,45209.0,88729.0,87800.0,0.4749,Embry-Riddle Aeronautical University-Prescott,Prescott,0.8382,0.7059
