TUITIONFEE_IN,TUITIONFEE_OUT,ST_FIPS,REGION,LOCALE,CONTROL,PREDDEG,UGDS,PCTPELL,PCTFLOAN,STUFACR,C150_4,COMP_ORIG_YR4_RT,COMP_ORIG_YR6_RT,GRAD_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,MD_EARN_WNE_P10,PCT10_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,PCT90_EARN_WNE_P10,MD_EARN_WNE_P6,PCT10_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,PCT90_EARN_WNE_P6,C100_4,INSTNM,CITY,RET_FT4,C200_4
28024.0,28024.0,6.0,8.0,11.0,3.0,3.0,4131.0,0.4176,0.5049,15.0,0.4046,0.100392842,0.187649402,31000.0,10500.0,11000.0,12000.0,39008.0,5900.0,17463.0,65466.0,90600.0,30452.0,4400.0,13368.0,52293.0,65900.0,0.0788,Academy of Art University,San Francisco,0.6725,0.4052
51640.0,51640.0,6.0,8.0,12.0,2.0,3.0,2054.0,0.245,0.3564,8.0,0.8261,0.590214067,0.685628743,31000.0,28500.0,26800.0,23288.0,71958.0,7600.0,28421.0,125307.0,114700.0,53562.0,6200.0,19313.0,89947.0,92100.0,0.387,Art Center College of Design,Pasadena,0.8221,0.8276
43600.0,43600.0,6.0,8.0,21.0,2.0,3.0,2977.0,0.3465,0.4648,10.0,0.6442,0.524090909,0.595446585,23219.0,20500.0,21000.0,18500.0,66677.0,10100.0,38819.0,98212.0,92800.0,56794.0,9300.0,31057.0,86635.0,83100.0,0.4923,Azusa Pacific University,Azusa,0.8373,0.7244
46704.0,46704.0,6.0,8.0,21.0,2.0,3.0,3390.0,0.2601,0.4467,14.0,0.6881,0.625284738,0.710470085,23875.0,19500.0,19500.0,18375.0,56778.0,6000.0,32980.0,83447.0,84500.0,45752.0,7200.0,25474.0,66438.0,70300.0,0.5541,Biola University,La Mirada,0.8526,0.7115
39720.0,39720.0,6.0,8.0,11.0,2.0,3.0,7914.0,0.4096,0.6258,20.0,0.5953,0.510648148,0.580823293,26063.0,21500.0,21542.0,19000.0,61504.0,8700.0,34450.0,88303.0,76500.0,52336.0,7000.0,30550.0,77547.0,71600.0,0.425,California Baptist University,Riverside,0.7421,0.5981
57946.0,57946.0,6.0,8.0,11.0,2.0,3.0,1004.0,0.2474,0.4564,7.0,0.5872,0.562189055,0.632142857,27000.0,23875.0,24620.0,14460.0,49414.0,3300.0,18349.0,93969.0,100300.0,38308.0,6300.0,16463.0,69267.0,68800.0,0.3915,California College of the Arts,San Francisco,0.5737,0.6833
50670.0,50670.0,6.0,8.0,12.0,2.0,3.0,2374.0,0.3016,0.7776,13.0,0.7402,0.69241573,0.653731343,21669.0,18750.0,20148.0,17500.0,68712.0,13200.0,44592.0,96084.0,96300.0,54981.0,10000.0,33476.0,77304.0,71900.0,0.665,California Lutheran University,Thousand Oaks,0.8056,0.7445
11075.0,30995.0,6.0,8.0,23.0,1.0,3.0,21521.0,0.1832,0.2349,18.0,0.8519,0.762199563,0.777699613,18500.0,15000.0,15911.0,15450.0,90768.0,15700.0,58977.0,132118.0,112300.0,72358.0,13800.0,47243.0,98611.0,81700.0,0.6115,California Polytechnic State University-San Luis Obispo,San Luis Obispo,0.9521,0.8661
7696.0,19576.0,6.0,8.0,11.0,1.0,3.0,8183.0,0.612,0.2512,16.0,0.4931,0.125161847,0.31122449,16600.0,11000.0,11000.0,13000.0,59009.0,11500.0,34128.0,84724.0,81900.0,44282.0,8500.0,25338.0,66441.0,67500.0,0.2762,California State University-Bakersfield,Bakersfield,0.7972,0.521
7826.0,19706.0,6.0,8.0,23.0,1.0,3.0,8564.0,0.5531,0.2266,16.0,0.58,0.535947712,0.609453878,13540.0,11000.0,10986.0,13080.0,63188.0,9000.0,39410.0,86094.0,75100.0,47793.0,6300.0,28638.0,66925.0,63000.0,0.2562,California State University-Stanislaus,Turlock,0.8017,0.627
7675.0,19555.0,6.0,8.0,12.0,1.0,3.0,15771.0,0.5713,0.2337,19.0,0.5465,0.547338569,0.637971391,14715.0,12500.0,11000.0,14253.0,59977.0,10000.0,36326.0,83589.0,81000.0,43149.0,7200.0,25384.0,64033.0,66500.0,0.2396,California State University-San Bernardino,San Bernardino,0.7764,0.6168
7439.0,19319.0,6.0,8.0,21.0,1.0,3.0,24271.0,0.4603,0.2526,23.0,0.6674,0.625288536,0.716670327,16000.0,12500.0,12829.0,15000.0,71902.0,12700.0,45083.0,100593.0,96700.0,54466.0,9900.0,31827.0,78996.0,71900.0,0.2912,California State Polytechnic University-Pomona,Pomona,0.8814,0.7398
8064.0,19944.0,6.0,8.0,12.0,1.0,3.0,13057.0,0.4008,0.3306,20.0,0.6363,0.617200217,0.685462555,16552.0,13500.0,14000.0,15000.0,64172.0,11100.0,41693.0,95212.0,91400.0,50493.0,8500.0,31136.0,75163.0,71500.0,0.3312,California State University-Chico,Chico,0.8371,0.6799
7064.0,18944.0,6.0,8.0,13.0,1.0,3.0,12642.0,0.6104,0.1956,18.0,0.4685,0.552723059,0.578516903,13807.0,12000.0,11000.0,12524.0,57162.0,9700.0,33459.0,82789.0,80600.0,46827.0,7500.0,27098.0,67371.0,70900.0,0.1774,California State University-Dominguez Hills,Carson,0.6562,0.5695
6980.0,18860.0,6.0,8.0,11.0,1.0,3.0,21070.0,0.5573,0.1978,18.0,0.5482,0.511571745,0.61487779,14505.0,11750.0,11000.0,14661.0,61244.0,10000.0,38091.0,84801.0,83800.0,44012.0,7600.0,26799.0,66013.0,64400.0,0.2471,California State University-Fresno,Fresno,0.7778,0.6141
7073.0,18953.0,6.0,8.0,21.0,1.0,3.0,36956.0,0.4714,0.2206,22.0,0.6922,0.662209529,0.729172471,13750.0,10957.0,11000.0,14500.0,62951.0,10800.0,39060.0,89304.0,88000.0,48558.0,8500.0,28456.0,71487.0,65900.0,0.3624,California State University-Fullerton,Fullerton,0.8499,0.7574
